CUI,mention
C0474550,a low hematocrit
C1879316,transfusion
C0015967,fever
C0085593,chills
C0008031,chest pain
C0019079,hemoptysis
C0003864,arthritis
C0007642,cellulitis
C0030578,paronychia
C3463824,Myelodysplastic syndrome
C1956346,Coronary artery disease
C0349782,ischemiccardiomyopathy
C0232174,ejection fraction
C0221158,MAT
C0024117,chronic obstructive pulmonary disease
C1960973,home oxygen
C0011860,Non insulin dependent diabetes mellitus
C0003873,Rheumatoid arthritis
C0030920,peptic ulcer disease
C0521707,Cataracts
C0033860,Psoriasis
C0019079,hemoptysis
C0699129,Coumadin
C0040771,TURP
C0034417,Quinine
C0034414,Quinidine
C0591139,Bactrim
C0699177,Plaquenil
C0204688,Temperature
C0034107,heart rate
C0205271,irregular
C0005824,blood pressure
C0523807,O2 saturation
CUI-less,2 liters
C0521707,Bilateral cataracts
C0497156,lymphadenopathy
C0034642,Rales
C0436125,Cardiovascular examination
C1167958,jugular venous distention
C0007280,carotid bruits
C0034107,heart rate
C0039231,tachycardic
C0018808,murmur
C0028754,Obese
C0520960,non-tender
C2711635,Heme
C0427244,Joint deformities
C0003873,rheumatoid arthritis
C0027853,Neurological examination
C0438930,SMA-7
C0201975,a creatinine
C0337438,a glucose
C0018935,Hematocrit
C0023508,white count
C0032181,platelets
C0200633,a ANC
C0162401,differential
C0523107,segs
C0200634,bands
C0200635,lymphs
C0200637,monos
C0337449,Digoxin level
C0039773,Theo-Dur level
C0033707,PT
C0030605,PTT
C0042014,Urinalysis
C0039985,Chest x-ray
C0018800,enlarged heart
C1623258,EKG
C0221158,MAT
C0004238,atrial fibrillation
C0085612,a ventricular response
C0429007,axis
C0520887,ST scooping
C0012265,Dig
C0204727,isolation
C0699992,Lasix
C0018802,congestive heart failure
C1277077,radiated Leuco
C0018935,his hematocrit
C0018935,his hematocrit
C0018935,His hematocrit
C0018935,hematocrit
C0231221,asymptomatic
C1879316,the transfusions
C0018935,his hematocrit
C0202113,his LDH
C2711635,guaiac
C0032952,Prednisone
C0042523,Verapamil
C0012265,Digoxin
C0590720,Isordil
C0039771,Theo-Dur
C0699992,Lasix
C0014025,Enalapril
C0678119,Pepcid
C0442808,increasing
C3714552,weakness
C0443172,change
C0010201,chronic cough
CUI-less,somewhat
C0332514,asymmetric
C0040132,thyroid
C0522499,palpable
C0425593,S4
C2316467,packed red blood cells
C0205156,prior
C1879316,transfusion
C0439064,multiple
C1879316,transfusionsm
C2316467,packed red blood cells
C0002871,ANEMIA
C0231220,SYMPTOMATIC
C0006267,BRONCHIECTASIS
C0205191,CHRONIC
C0205309,known
C1879316,transfusion
C0851827,dependent
C0018799,cardiac
C0018799,disease
C0024115,pulmonary disease
C1879316,transfusing
C0442808,increasing
C0686904,requirements
C0018802,congestive heart failure
C0159028,symptoms
C0559681,po antibiotic
C0008809,Ciprofloxacin
C0586987,great toe infection
C0205090,right
C0006267,bronchi ectasis
C0205191,chronic
C0238767,bilateral
C0374711,repair
C0223125,C3
C0700594,radiculopathy
C0028259,nodule
C0700321,small
C0041834,erythema
C0547040,minimal
C0033860,psoriasis
C0205219,Diffuse
C0460005,trunk
C0230332,arms
C0853697,neutropenia
C0205344,absolute
C0332620,redistribution
C2945599,mild
C0459963,pulmonary vascular
C0018802,congestive heart failure
C0439806,gross
C0264694,chronic ischemia
C0443172,changes
C0443172,change
C0750502,significant
C1290922,baseline
C1623258,EKG
C0027947,neutropenic
C1300317,precautions
C0018802,CHF
C0420834,stand point
C0878707,a drop in his hematocrit
C0017181,GASTROINTESTINAL BLEED
C0243026,SEPSIS
C0017181,GASTROINTESTINAL BLEED
C0019151,HEPATIC ENCEPHALOPATHY
C0022661,END STAGE RENAL DISEASE
C0011946,DIALYSIS
C0025222,dark stools per rectum
C0878707,hematocrit drop
C0013404,short of breath
C0011946,dialysis
C0017181,His gastrointestinal bleeding issues
C0079304,an upper endoscopy
C0038358,gastric ulcerations
C0267115,an non-steroidal anti-inflammatory drugs gastropathy
C0700777,Prilosec
C0004057,The aspirin
C0017181,gastrointestinal bleeding
C0018935,hematocrit
C0025517,any metabolic abnormalities
C0022957,lactulose
C0019151,hepatic encephalopathy
C1265175,Vancomycin resistant enterococcus
C0023508,his white count
C1443397,a respiratory rate
C0523807,oxygen saturations
C0523807,his oxygen saturations
C0548067,Nasal trumpet suction
C0005800,Blood gases
C0202165,a pH
C0428189,a pCO2
C0337438,a sugar
C0337438,the sugar
C0282386,levofloxacin
C0699678,Flagyl
C0042313,Vancomycin
C0003232,These antibiotics
CUI-less,further invasive measures
C0004398,an autopsy
CUI-less,somewhat
C0546817,fluid overloaded
CUI-less,apparent
C0546817,fluid overload
C0004057,aspirin
C0442808,increasingly
C0023380,lethargic
C0205231,extensive
CUI-less,work-up
C0740299,positive blood culture
CUI-less,somewhat
C0023380,lethargic
C1276802,acutely
C0013404,short of breath
C0205314,new
C0201889,anion gap
C0205341,Repeat
C0005800,blood gas
C0457575,Fingerstick
C0337438,glucose
C0438930,panel 7
C0205548,stat
C1305553,100%
C1960093,nonrebreather
C0027051,MYOCARDIAL INFARCTION
C0027051,myocardial infarction
C0003504,aortic insufficiency
C0030567,Parkinson 's Disease
C0699790,colon carcinoma
C0018802,congestive heart failure
C0015260,An exercise tolerance test
C0011923,imaging
C0563275,Right sided chest pain
C0030567,Parkinson 's Disease
C0039240,supraventricular tachycardia
C0699790,colon carcinoma
C0563275,right sided chest pain
C0030193,the pain
CUI-less,direct pressure to the point
C0027051,myocardial infarction
C0030567,Parkinson 's Disease
C0020538,hypertension
C1331537,aorticsclerosis
C0699790,colon carcinoma
C0009214,Codeine
C0699992,Lasix
C0074559,Sinemet
C0591275,Cogentin
C0306054,Eldepryl
C0032825,Potassium chloride
C0038454,a stroke
C0020538,hypertension
C0011849,diabetes mellitus
C0150404,The vital signs
C0204688,a temperature
C0034107,heart rate
C0005824,blood pressure
C1443397,respiratory rate
C0523807,satting
CUI-less,atraumatic
C0006318,bruits
C0024204,nodes
C0018021,thyromegaly
C0022821,kyphotic
C0235634,costovertebral angle tenderness
C0234233,tenderness
C4075263,organomegaly
C0149651,clubbing
C1456822,claudication
C0013604,edema
C0438930,The patient 's SMA 7
C0005845,a BUN
C0201975,creatinine
C0337438,a glucose
C0005774,chemistries
C0201973,a creatine kinase
C0430443,measured methylene blue fraction
C0009555,The complete blood count
C0023508,a white count
C0018935,hematocrit
C0032181,platelet count
C0018802,congestive heart failure
C0032285,pneumonia
C0027051,formyocardial infarction
C0014440,enzymes
C0015260,a exercise stress test
C0034107,a heart rate
C0003811,arrhythmias
CUI-less,the test
C0438716,chest pressure
C0030193,pain
C0013404,dyspnea
C0034606,nuclear medical imaging
C0022116,ischemia
C0699992,Lasix
C0074559,Sinemet
C0591275,Cogentin
C0306054,Eldepryl
C0032825,Potassium chloride
C0025859,Metoprolol
C0038293,sternum
C0332301,radiation to
C3466369,sublingual nitroglycerins
C0205392,some
C0013404,shortness of breath
C0205392,some
C0220870,lightheadedness
C0030193,pain
C0444532,right sided
C0022821,kyphosis
C0205082,severe
C0004057,aspirin
C0878881,nasal cannula
C0332241,Equivocal
C0151564,cogwheeling
C0205090,right
C0205180,anicteric
C0036410,sclera
C0277910,systolic ejection murmur
C0205170,well
C0205249,healed
C2004491,scar
C0039985,chest x-ray
C0443172,changes
C1623258,electrocardiogram
C0013216,medications
C0521116,current
C0004057,aspirin
C0008031,chest pain
C0205234,focal
C0445247,same
C0034642,crackles
C0225704,both bases
C0205379,visible
C0040822,tremor
C0230370,right hand
C0230460,right
C0230460,foot
C0040822,Tremors
C0230370,right hand
C0230460,right
C0230460,foot
C0438653,Portable
C0438653,x-ray
CUI-less,Enteric coated
CUI-less,Enteric coated
C0232249,1 out of 6
C0232249,murmur
C0008031,Chest pain
C0700452,ENALAPRIL MALEATE
C0438716,chest pressure
C0027051,mi
C0008031,Chest pain
C0008031,Chest pain
C0027051,MI
C0013516,Echocardiogram
C1691002,MRA Kidney
C0020538,HTN
C0020443,hyperchol
C0460139,Pressure
C0013404,SOB
C0027497,nausea
C0030252,palpitations
C1527384,tremulousness
C0700590,diaphoresis
C0020538,HTN
C0005824,BP
C0005824,BP
C0030193,Pain
C0066814,MSO4
C0005824,BP
C0027051,MI
C1261322,eval
C4049375,demand ischemia
CUI-less,w / u
C0745138,HTN urgency
C0031809,PE
C0005824,BP
CUI-less,2L
C0031809,Exam
C0022885,Labs
C0201973,CK
C0523952,Trop
C0018935,Hct
C0863148,MCV
C1623258,EKG
C0023211,LBBB
C0039985,CXR
C0006938,Captopril
C3466236,nitropaste
C0460139,pressure
C0066814,MSO4
C0008031,CP
C0013516,Echo
C0243032,MRA
C0333288,dissection
C0523554,urine catecholamines
C0202247,VMA
C2711635,Guaiac all stools
C0337439,iron studies
C0008031,Chest Pain
C0006938,captopril
C0700776,lopressor
C3466236,NTG paste
C0438716,Her CPress
C0027051,mi
C0201973,CPK
C0030548,TPN
C0020538,Hypertension
C0006938,captopril
C0700776,lopressor
C3466236,NTG paste
C1691002,MRA kidney
C1261287,stenosis
C0039985,CXR
CUI-less,comp arison film
C0013516,echo
C0232174,EF
C0026266,MR
C0455060,-24h urine study
C0700548,METOPROLOL TARTRATE
C0700776,LOPRESSOR
C0262580,No Known Allergies
C0438716,chest pressure
CUI-less,SS
C0205314,new
CUI-less,SS
C0438716,chest pressure
C2316391,drip
C0017887,NTG
C0204688,T
C0034107,P
C1443397,RR
C0232250,II / VI
C0232250,murmur
C0232257,systolic murmur
C0442711,protocol
CUI-less,ROMI
C0442711,protocol
C0008031,CP
C0524464,parenchymal
C0577305,lesions
C0746459,mediastinal widening
C0205379,obvious
C0333074,flattening
C0442004,septal
C0040961,TR
C2945599,mild
C0442822,trace
C0013687,effusion
C0015967,FEVER
C0853697,NEUTROPENIA
C0007642,CELLULITIS
C0015967,FEVER
C1956346,coronary artery disease
C0010055,CABG
C0231218,unwell
C0542269,his non-Q wave MI
C0360714,Statin
C0003864,arthritis
C0003862,joint pain
C0231528,myalgia
C0015672,fatigue
C0409652,"a rheumatoid factor negative , rheumatoid arthritis"
C0700017,Naprosyn
C0032952,prednisone
C0036078,sulfasalazine
C0028081,night sweats
C0032952,the prednisone
C0231528,myalgias
C0036078,sulfasalazine
C0027497,nausea
C0042963,vomiting
C3714435,decreased p.o. intake
C0266813,A guaiac positive stool
C0032952,The patient &apos;s prednisone
C0015967,a fever
C0023530,leukopenic
C0023508,a white blood cell count
C0200633,neutrophils
C0018935,a hematocrit
C0032181,platelets
C0863148,a MCV
C0427460,RDW
C1289919,IV fluids
C0020933,imipenem
C0041834,erythema
C0235592,cervical lymphadenopathy
C0151602,his swelling of his face
C0412620,The CT of the abdomen
C0497156,lymphadenopathy
C2315676,The CT of head and neck
C0015645,fasciitis
CUI-less,deep tissue thread
C0740690,abscesses
C0013404,shortness of breath
C0008031,chest pain
C0085619,orthopnea
C0013428,dysuria
C0018965,hematuria
C0547030,visual changes
C0015230,rashes
C0344232,blurry vision
C1956346,Coronary artery disease
C0027051,MI
C0010055,CABG
C0003864,arthritis
C0043246,tears
C0020538,hypertension
C0020473,hyperlipidemia
C0036078,Sulfasalazine
C0032952,prednisone
C0700017,Naprosyn
C0678140,Zestril
C0700776,Lopressor
C0721124,iron supplementation
C1956346,coronary artery disease
C0027051,MI
C0006826,cancer
C0204688,The patient &apos;s temperature
C0034107,heart rate
C0005824,blood pressure
C1443397,respiratory rate
C0523807,satting
C0015388,exudate
C0019080,hemorrhage
C0242301,a boil
C0034161,pus
C0234233,tenderness
C1761613,conjunctivae injected
C0015388,exudate
C0034161,pus
C1268768,Dentition very poor
C0030247,palpation
C0043144,wheezes
C0039231,tachycardia
C0018808,murmurs
C1167958,JVD
C0028754,Obese
C0577599,non-distended
C0013604,edema
C0034935,Babinski reflex
C0023508,a white cell count
C0200633,neutrophils
C0200634,bands
C0200635,lymphs
C0200637,monos
C0018935,hematocrit
C0032181,platelets
C0201836,ALT
C0201899,AST
C0201850,alk phos
C0201913,a total bili
C0555903,Total protein
C0201838,albumin
C0877347,globulin
C0201992,His electrolyte panel
C0337443,sodium
C0337443,sodium
C0201952,chloride
C0202059,bicarb
C0005845,BUN
C0201975,creatinine
C0392201,blood glucose
C0337439,Iron studies
C0373607,a ferritin
C0337439,an iron
C1283048,a TIBC
C1623258,EKG
C0039231,tachycardia
C1287077,Q-waves
C0232326,ST-T wave changes
C0039985,The patient &apos;s chest x-ray
C0007559,ceftazidime
C0027324,nafcillin
C0699678,Flagyl
C0149778,a soft tissue infection
C0005954,a bone marrow biopsy
C0302173,myeloid arrest
C0853697,neutropenia
C0036078,the sulfasalazine
C0023508,the patient &apos;s white blood cell count
C0079459,G-CSF
C0079459,the G-CSF
C0200633,the absolute neutrophil count
C0003232,The patient &apos;s antibiotics
C0008947,clindamycin
CUI-less,sialagogue
C0038999,the swelling
C0234233,tenderness
C0041834,erythema
C0003232,antibiotics
CUI-less,workup
C0003864,arthritis
C0409652,"rheumatoid factor negative , rheumatoid polyarthritis"
C0005954,a bone marrow biopsy
C0184661,any procedures
C0282638,antibiotic coverage
C0008947,clindamycin
C0740299,positive blood cultures
C0277797,afebrile
C3222132,Topical Bactroban
C0032952,prednisone
C0032825,K-Dur
C0722364,OxyContin
C0008947,clindamycin
C0065374,lisinopril
C0004147,atenolol
C0040805,trazodone
C0700777,Prilosec
C0975746,clotrimazole 1% cream topical
C0009566,complications
C0010055,CABG
C0699752,review
C0010055,CABG
C0205435,first
C0442808,increasing
C1262477,weight loss
C0015672,fatigue
C0205217,increased
C0000737,abdominal pain
C0205219,diffuse
C0036078,sulfasalazine
C0178602,dose
C1444749,flare
C0003864,arthritis
C0032952,prednisone
C0178602,dose
C0000737,abdominal pain
C0442808,increasing
C0151602,face
C0151602,swelling
C0578454,neck swelling
C2315676,"CT of head , neck"
C0412620,CT
C0412620,abdomen
C0205090,right
C3887499,renal cyst
C0011164,degeneration
C0238767,bilateral
C0085515,rotator cuff
C0041834,erythema
C1282914,surrounding
C0238767,bilateral
C0549177,large
C0578454,neck
C0578454,swelling
C0424822,submandibular swelling
C0442824,very
C0234233,tender
C0225704,bibasilar
C0034642,rales
C0439742,Scattered
C0205219,diffuse
C2945599,mild
C0234233,tenderness
C0027947,Neutropenic
C1300317,precautions
C0205341,repeat
C2315676,head and neck CT
C0030583,parotitis
C0205090,right
C0205091,left
C1264056,submandibular lymphadenopathy
C0027540,necrosis
C0205392,some
C0205379,frank
C0740690,abscesses
C0032952,prednisone
C1827449,taper
C0152277,incision and drainage
C0030583,parotitis
C0205090,right
C0027540,necrosis
C0205091,left
C0934462,submandibular
C0588054,cervical lymph node
C0011923,imaging
C0205341,repeat
C0038358,GASTRIC ULCER
C0038358,Gastric ulcer
C0031048,constricting pericarditis
C0035222,adult respiratory distress syndrome
C0043252,gunshot wounds
C0030486,paraplegia
C0175753,a Greenfield filter
C0399642,a gastric pull up
C0192963,a transverse colostomy
C0591139,Bactrim
C0042313,Vancomycin
C0354688,Albuterol inhaler
C0002679,Amphotericin B
C0007559,Ceftazidime
C0008809,Ciprofloxacin
C0072916,Cisapride
C0037518,Dakin &apos;s solution
C0700899,Benadryl
C0006935,capsule
C0699992,Lasix
C0086787,Percocet
C0040805,Trazodone
C0301532,multivitamins
C0043252,a gunshot wound
C0029944,a drug overdose
C0035222,adult respiratory distress syndrome
C0031048,constrictive pericarditis
C0031041,a pericardial window
C0203065,a barium swallow
C0014245,endoscopy
C0577006,an interruption of his esophagus
C0043252,his gunshot wound
C0041582,an ulcer
C0583980,further management
C0013404,shortness of breath
C0013969,a life saving procedure
C0014873,esophagoscopy
C0006290,bronchoscopy
C0031042,pericardectomy
C0728940,excision
C0038358,gastric ulcer
C0374711,repair
C0038358,gastric ulcer
C0438798,pectoralis major myocutaneous flap
C1292726,associated illnesses
C0028420,Nortriptyline
C0011581,depression
C0030486,a paraplegic from T4 down
C0011127,decubiti ulcer disease
C0031048,constrictive pericarditis
C0543467,his surgical procedure
C0018795,a cardiac catheterization
C0009566,complications
C1293858,The cardiac output
C0428776,an index
C1641586,cardiac ultrasound
C0554756,Doppler
C0040961,tricuspid insufficiency
C0344709,right atrial dilatation
C0012359,dilated
C1261287,constrictive physiology
C0041618,this ultrasound
C0018799,his cardiac condition
C0039991,thoracotomy
C0524724,staples
C3543005,the incisions
C0184661,his procedure
C0038969,these stitches
C0030054,oxygen
C0181744,face mask
C0523807,his saturations
C0013216,His medications
C0399682,gastric ulcer repair
C0009410,a colostomy
C0016169,a sinus tract
C0202613,a fistulogram
C0016169,a sinus tract
C0016169,fistula
C0543467,any surgical treatment
C0033213,this problem
C0087111,the best treatment
C1971624,no appetite
CUI-less,very poor effort
C0001563,po. medicines
C0240698,an ulcer on his penis
C0085671,dressing changes
C1970989,a Foley catheter
C1970989,his Foley catheter
C0026771,These wounds
C2064709,wet to dry dressings
C0023508,The patient &apos;s white count
C0016277,Fluconazole
C0039985,The chest X-ray
C0032285,pneumonia
C0030193,Pain
C0030049,Oxycodone
C0030193,pain
C0078944,a PCA
C0700899,Benadryl
C0027409,his narcotics
C0030049,the Oxycodone
C0013216,the patient &apos;s medications
C0008783,Cimetidine
C0699932,Senokot
C0025559,Metamucil
C0028420,Nortriptyline
C0032825,KCL
C0016277,Fluconazole
C0699992,Lasix
C0700777,Prilosec
C0700899,Benadryl
C0030049,Oxycodone
C0031048,his constrictive pericarditis
C0543467,a surgical procedure
C0031048,his constrictive pericarditis
C0038358,a gastric ulcer
C0439064,multiple
C0543467,surgical procedures
C0442804,very high
C1287690,venous pressures
C0205250,elevated
C0456165,right atrial pressure
C0205081,moderate
C0020542,pulmonary hypertension
C0205161,abnormal
C1287722,right ventricle wall motion
C0442822,trace
C0026266,mitral regurgitation
C0750572,estimated
C0232174,ejection fraction
C0442822,trace
C0034088,pulmonary insufficiency
C0205369,specific
C0013216,medications
C0205394,other
C0003232,antibiotics
C0443302,several
C0205394,other
C0013216,medications
C0017128,GASTRIC
C0017128,FISTULA
C0265127,PERICARDIAL FISTULA
C0265127,pericardial fistula
C0017128,gastric
C0017128,fistula
C0558160,decubiti on his buttocks
C0439064,multiple
C0011127,decubiti
C0030851,penis
C0016169,sinus tract
C0000726,abdomen
C1706537,swish and swallow
C0028741,Nystatin
C0031046,pericarditis
C0006836,Candidal
C0031050,pericardial
C0038358,gastric
C0038358,ulcer
C0205156,previous
C0230145,substernal
C0017125,gastric bypass
C0031050,pericardial
C0038358,gastric
C0038358,ulcer
C0424579,poor condition
C0442824,very
C0232172,hypokinetic
C0205219,diffusely
C0038969,sutures
C0817096,chest
C0001927,Albuterol
C2919541,nebulizer
C0009452,communication
C0021853,intestines
C0085671,dressing changes
C2064709,wet to dry dressing
C0011127,decubiti
C0439064,multiple
C0011127,decubiti
C0549177,large
C0205393,most
C0332185,recent
C2242979,cultures
C0001927,Albuterol
C2919541,nebulizer
C0085671,dressing changes
C2064709,wet to dry dressing
C0036082,Saline
C0011127,decubiti
C0030851,penis
C0030797,pelvis
C0582480,humidified oxygen
C0849584,Followup
C0562319,cardiac studies
C0041582,ulcer
C0041582,ulcer
C1706406,debulking of tumor
C3879162,stulz neuro navigation
C0575081,gait difficulty
C0007107,laryngeal cancer
C0038454,CVA
C0020538,hypertension
C4040706,progressive difficulty in ambulation
C0311394,problems ambulating
C0562921,difficulty buttoning his shirt
C0038454,a stroke
C0311394,a hard time walking
C0006856,a cane
C2316224,his gait weakness
C0159028,his symptoms
C0439829,unsteady
C0043016,a walker
C0040405,a CG scan
C4047371,a mass in the right parietal lobe
C0420266,further workup
C0577559,the mass
C0344232,blurry vision
C0018681,headache
C0027497,nausea
C0042963,vomiting
C0030554,paresthesias
CUI-less,pain in mental status
C0683369,confusion
C0036572,seizures
C1522449,radiation therapy
C0728940,resection
C0524865,reconstruction
C0007107,his laryngeal cancer
C0020538,Hypertension
C0038454,CVA
C0011849,diabetes
C0007107,laryngeal cancer
C0033573,prostatectomy
C1704272,BPH
C0086511,total knee replacement
C0003611,appendectomy
C0633084,Plavix
C0593906,Lipitor
C0020261,HCTZ
C0728957,Monopril
C0663448,Viagra
C0262581,NKDA
C1956346,CAD
C0011849,diabetes
C0038454,CVA
C0020443,hypercholesterolemia
C0277797,Afebrile
C0150404,vital signs
C0005824,a blood pressure
C0028738,nystagmus
C0035317,retinal hemorrhages
C1268768,poor dentition
C0018021,thyromegaly
C0231872,egophony
C1720139,heave
C0520960,nontender
C0577599,nondistended
C0019209,hepato
C0038002,splenomegaly
C0235634,CVA tenderness
C0031256,petechiae
C0023508,White blood cell count
C0525032,INR
C0013516,Echocardiogram
C0232174,an EF
C0039985,Chest xray
C0702116,consolidation
C0013604,signs of edema
C0040405,CT
C2939419,metastatic disease
C0085136,primary CNS neoplasm
C0017636,glioblastoma
C0024485,MRI
CUI-less,workup
C0027651,his tumor
C0159028,his symptoms
C1706406,open debulking
C0332142,a pathologic diagnosis
C1706406,debulking
C0027651,the tumor
C3879162,stulz neuro navigation
C0184661,the procedure
C1293091,preoperative assessment
CUI-less,remarkable findings
C0206077,Transcranial Dopplers
C0543467,surgery
C0740057,Decadron
C0038999,swelling
C0917726,Fragmin
C2585945,DVT prophylaxis
C0202454,Dilantin levels
C0080274,an inability to void
C0179802,a 16 French Coude catheter
C0403742,voiding trials
C0179802,a 16 Coude catheter
C0403742,voiding trials
C0662903,Flomax
C0543467,the operation
C3224417,po Decadron
C0024730,Mannitol
C0420637,His pathology
C0030193,The patient &apos;s pain
C0030193,his pain
C1287347,his serum electrolytes
C0037473,sodium
C0204700,fluid restriction
C0337443,his sodium levels
C1272109,his plasma sodium
C0204700,fluid restriction
C0024730,Mannitol
C1384666,hard of hearing
C0436561,complaints of pain
C0593906,Lipitor
C0006938,Captopril
C0939400,Nexium
C0282139,Colace
C0699194,Ativan
C0003467,anxiety
C1110594,Allegra
C0699512,Dilantin
C0043481,Zinc
C0003968,Vitamin C
C0662903,Flomax
C0917726,Fragmin
C0282386,Levofloxacin
C0011777,Dexamethasone
C0038317,The steroid
CUI-less,Neutra-Phos
C0524724,The staples
C0019080,any bleeding
C0043241,wound infection
C0015967,fever
C3697880,intractable nausea and vomiting
C0018681,headache
C0012833,dizziness
C0028643,numbness
C0030193,pain
C3714552,weakness
C0543467,surgery
C0699512,Dilantin
CUI-less,apparent
C0231303,distress
C0205394,other
C1265602,masses
C0232251,3/6
C0232251,murmur
C0277910,systolic ejection murmur
C0234376,intention tremor
C0230371,left hand
C0032790,postoperative
C0024485,MRI
C0032790,post surgical
C0443172,changes
C0205341,repeat
C0011923,imaging
C0205392,some
C0013604,edema
C2317349,IV
C0740057,Decadron
C0032790,postoperative
C0523891,serum sodium
C0949766,physical
C0949766,therapy
C1318464,occupational therapy
C0205090,Right
C1263887,temporal tumor
C1263889,occipital
C1263889,tumor
C1263888,parietal
C1263888,tumor
C0010280,craniotomy
C0205090,right
C0230004,parietal
C0230005,occipital
C1290910,ADLs
C3853152,more difficulty
C0230473,feet
C0520966,uncoordination
C0442808,increasing
C3714552,weakness
C0085639,falls
C0442808,increasing
C0332218,difficulty
C3714552,weakness
C1446409,Positive
C0014099,CEA
C0205090,right
C0015388,exudates
C0041834,erythema
C0031354,pharynx
C0205095,posterior
C0238767,bilaterally
C0036098,salivary glands
C0205402,Prominent
C0497156,lymphadenopathy
C0230077,clavicular
C0235592,cervical
C0235592,lymphadenopathy
C0230009,para-auricular
C0522499,palpable
C0232269,thrill
C0230178,Right lower quadrant
C2004491,scar
C2004491,scar
C0542339,inferior
C0549183,midline
C0012727,deviation
C2937276,slight
C0042173,uvula
C0040408,tongue
C0026826,increased tone
C0230329,right upper extremity
C1504476,pronator drift
C0205091,left
C2937276,slight
C0011923,imaging
C1301772,relevant
C4047371,right parietal
C4047371,mass
CUI-less,hyperdense and heterogenously enhancing
C1282914,surrounding
C0472387,vasogenic edema
C4047371,right parietal mass lesion
C0549177,large
CUI-less,heterogenous enhancing
C0332261,spread
C0228092,ependymal
C2919215,tumor burden
C0522501,tremendous
C0010280,craniotomy
C0205090,right
C0230004,parietal
C0230005,occipital
C0577559,mass
C1280500,affect
C3714444,load
C2317349,IV
C0740057,Decadron
C0017638,glioma
C0549177,large
CUI-less,grade IV
C0002771,pain medications
C2317349,IV
C0002771,pain medications
C2316867,po
C1276413,regimen
C2316867,po
C0021641,Regular insulin
C0557977,sliding scale
C0034642,Crackles
C0225706,right lung field
C0235974,Pancreatic carcinoma
C0031150,Laparoscopy
C0005558,biopsy
C0030193,the pain
C0040405,a CT scan
C0577559,a mass
C1880304,an exploratory laparoscopy
C0037944,spinal stenosis
C0543467,operations
C0374711,repair
C3887590,a ureteral stricture
C1532399,cataract implants
C0003611,an appendectomy
C0722364,Oxycontin
C1384520,Darvocet
C0717752,Estratab
C0004057,Aspirin
C0005824,The blood pressure
C0034107,pulse
C1443397,respirations
C0004339,auscultation
C0018808,murmurs
C0746412,palpable masses
C1880304,a diagnostic laparoscopy
C0031148,peritoneal washings
CUI-less,no gross evidence seating in the abdominal wall
C0028259,one nodule
C0028259,one nodule
C0370003,Specimens
C0031148,peritoneal washings
C0009566,complications
C0184661,the procedure
C2364135,uncomfortable
C0004057,aspirin
C0086787,Percocet
C0030193,pain
C0717752,Estratab
C0225355,cytopathology specimens
C1647891,surgical pathology specimens
CUI-less,these tests
C0442808,increasing
C0238552,pain in her left upper quadrant
C1270947,partial hysterectomies
C0262581,No known drug allergies
C0205392,some
C1291077,abdominal bloating
C0205341,repeated
C0117857,Fleet &apos;s enemas
C0332281,associated
C1262477,weight loss
C0205355,permanent
C1292599,specimens from the liver
C0230240,falciform
C0028259,nodules
C0038536,subcutaneous emphysema
C0000726,abdomen
C0205136,over
C1446787,cramping
C0000726,abdominal
C2945599,mild
C4019039,ileus
C0020538,hypertension
C0013216,his medications
C0025741,Aldomet
C0009014,Clonidine
C0011860,adult onset diabetes mellitus
C0038013,ankylosing spondylitis
C0027051,myocardial infarction
C0234518,slurred
C0040405,a computerized tomography scan
C0005824,His blood pressure
C0422943,visual symptoms
C0728763,Vasotec
C0702216,Soma
C0009014,Clonidine
C0011849,diabetes mellitus
C0006826,cancer
C0031809,On physical examination
C0277797,afebrile
C0005824,blood pressure
C0034107,heart rate
C0006318,bruits
C0562318,Cardiovascular exam
C0004339,auscultation
C0030987,percussion
C0520960,non-tender
C0028754,obese
C0427008,stiff
C0234233,sore
C0027853,neurological examination
C0234411,extinction
C0576675,pin prick
C0430740,Motor examination
C0200116,sensory examination
C0278158,The finger-to-nose
C0437365,reflex examination
C0009024,clonus
C0201992,Electrolytes
C0337438,glucose
C0005845,BUN
C0201975,creatinine
C0018935,hematocrit
C0023508,white blood count
C0032181,platelet count
C1271714,polys
C0200634,bands
C0200635,lymphs
C1623258,The electrocardiogram
C0202691,Head computerized tomography scan
C0333051,shift
C0039985,The chest X-ray
C0027853,The neurological examination
C0575809,movement in the hand
C0576332,wiggle toes
C0020538,hypertension
C0728763,Vasotec
C0028066,Nifedipine
C0009014,Clonidine
C0005824,blood pressure
C0871470,systolic
C0428883,diastolic
C0034107,heart rate
C0699187,Valium
C0037763,Muscle spasms
C0728797,Flexeril
C0011849,diabetes mellitus
C0017628,Micronase
C0728763,Vasotec
C0009014,Clonidine
C0028066,Nifedipine
C0728797,Flexeril
C0699187,Valium
C0017628,Micronase
C3539909,allergic
C0086787,Percocet
C0717448,Percodan
C0020538,hypertension
C0011849,diabetes mellitus
C0018991,hemiplegia
C0023216,leg
C0230026,left face
C1704243,greater than
C0230330,left
C0230330,arm
C0205225,primary
C0234216,hemisensory loss
C0205091,left
C0018681,headache
C0205099,central
C1455762,dull
C2945599,mild
C0028643,numb
C0205092,on that side
C0205151,capsular
C0472376,thalamic
C0472376,hemorrhage
C1280500,effect
